Index;ISBN 13;Author ID;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
152;9,78077E+12;77;256;08/08/2006;3,97;6898;200
153;9,78067E+12;1;307;15/02/1991;4,06;67803;1401
154;9,78035E+12;1;298;26/04/2005;3,93;22091;746
155;9,78035E+12;78;368;27/12/2005;4,14;2623;49
156;9,78035E+12;79;256;27/10/1998;3,6;885;84
157;9,78142E+12;1;336;01/07/2003;3,93;5;0
158;9,78057E+12;80;72;12/01/2011;4,13;100;13
159;9,78069E+12;81;67;30/01/2005;3,57;9358;995
160;9,78039E+12;82;347;12/09/2005;3,78;9318;907
161;9,78067E+12;83;317;12/06/1993;4,14;120;15
162;9,7804E+12;84;32;02/02/1998;4,53;5239;76
163;9,78068E+12;85;827;09/07/1998;3,92;1505;175
164;9,78014E+12;85;480;01/05/1991;3,99;11857;564
165;9,78014E+12;85;377;06/07/1989;3,43;393;55
166;9,78068E+12;85;256;17/07/1989;3,43;1356;72
167;9,78074E+12;85;224;06/04/2004;3,22;460;41
168;9,78014E+12;85;272;01/01/1994;3,48;2492;145
169;9,78068E+12;85;339;17/07/1989;3,64;3100;212
170;9,78159E+12;86;1085;21/11/2006;4,13;5296;587
171;9,78006E+12;86;547;05/07/2005;3,96;1415;177
172;9,78006E+12;86;152;01/04/1999;3,69;2161;230
173;9,78014E+12;86;784;01/01/2000;4,01;762;213
174;9,78031E+12;86;773;03/01/2004;4,07;8086;602
175;9,78014E+12;86;385;01/09/1997;3,69;702;69
176;9,78014E+12;86;776;31/10/2006;4,01;29764;2164
177;9,78032E+12;86;193;30/04/1985;3,5;334;34
178;9,78014E+12;87;352;29/08/1996;3,8;2473;220
179;9,7814E+12;88;227;04/10/2005;3,89;2656;336
180;9,78037E+12;88;222;01/10/1990;4,17;11889;738
181;9,78068E+12;88;272;11/04/1995;3,8;2962;255
182;9,78068E+12;88;240;14/09/2004;3,86;2842;292
183;9,78037E+12;88;238;01/10/1990;4,21;26934;1825
184;9,78068E+12;88;234;25/04/1995;3,81;2070;169
185;9,78031E+12;88;1122;17/10/2006;4,5;1564;108
186;9,78037E+12;88;231;15/11/2005;3,87;23656;1706
187;9,78014E+12;89;308;28/03/2006;3,89;43200;1873
188;9,78014E+12;89;203;07/04/1987;3,79;12410;734
189;9,78014E+12;89;96;07/07/1987;3,64;3672;195
190;9,78094E+12;89;179;01/11/1986;3,89;2998;164
191;9,78096E+12;90;256;01/01/1995;3,89;74;2
192;9,78031E+12;89;306;17/10/2006;3,84;17977;1157
193;9,78014E+12;89;320;01/04/1990;3,94;16099;503
194;9,78014E+12;89;217;01/12/1991;3,9;361;36
195;9,78081E+12;89;145;23/01/2007;3,23;6688;562
196;9,78014E+12;89;275;01/09/1993;3,96;11744;443
197;9,78081E+12;89;104;17/06/2002;3,77;2390;120
198;9,78274E+12;89;1075;07/11/2002;4,38;21;1
199;9,78014E+12;91;608;27/12/2005;3,93;52522;2780
200;9,78045E+12;92;211;01/02/2006;3,4;213;26
201;9,78052E+12;93;262;29/03/1990;4,15;719;86
202;9,78074E+12;94;544;07/08/2001;3,8;4762;512
203;9,78035E+12;95;272;29/01/2002;3,91;62;4
204;9,78039E+12;96;576;17/09/1998;4,39;278;20
205;9,7816E+12;97;88;17/05/2006;4,01;2862;262
206;9,78081E+12;98;542;01/02/2001;3,78;2829;334
207;9,78082E+12;99;144;01/10/1994;3,93;105;5
208;9,78093E+12;97;100;01/12/2000;4,13;102;2
209;9,78037E+12;100;249;27/06/2006;3,77;478;12
210;9,78097E+12;6;828;11/10/2004;4,03;1577;49
211;9,78076E+12;101;112;13/06/2000;3,95;73;8
212;9,78031E+12;102;6;11/10/2005;3,68;408;96
213;9,78081E+12;103;397;12/09/2006;4,11;1693;100
214;9,78006E+12;104;216;01/01/1989;4,14;1;0
215;9,78033E+12;105;328;01/06/2003;3,81;6485;966
216;9,78159E+12;105;532;01/04/2004;3,81;367;73
217;9,78035E+12;106;224;13/05/1990;3,8;1371;43
218;7,85342E+11;107;296;17/02/2005;3,98;793;28
219;9,78032E+12;108;456;01/08/2006;3,8;549;42
220;9,78382E+12;109;575;15/05/2005;3,85;288;31
221;9,78074E+12;110;245;13/06/2006;3,81;26381;1109
222;9,78074E+12;110;272;02/07/2004;3,73;62089;3324
223;9,78055E+12;111;419;02/05/1996;3,51;474;19
224;9,78006E+12;112;540;25/04/2006;3,77;166046;6446
225;9,7808E+12;113;32;01/04/2005;4,08;1773;274
226;9,78069E+12;114;408;19/11/1990;3,72;286;10
227;9,78186E+12;115;222;05/07/2002;3,85;40;2
228;9,78159E+12;116;191;01/09/2004;3,93;27;0
229;9,78045E+12;42;304;01/04/2003;4,11;7300;266
230;9,78019E+12;42;1392;25/06/1998;4,11;211671;6245
231;9,78049E+12;42;352;08/09/2006;4,13;2403;210
232;9,78045E+12;117;1168;01/08/1999;3,69;322483;14702
233;9,78045E+12;117;224;01/12/1963;3,68;2750;108
234;9,78045E+12;117;752;26/04/2005;3,87;1886;229
235;9,78045E+12;117;176;01/11/1964;3,51;11462;467
236;9,78045E+12;117;105;01/12/1999;3,63;110952;7277
237;9,78045E+12;117;464;01/01/1996;3,91;23199;1086
238;9,78045E+12;117;340;15/07/1986;3,88;3501;153
239;9,78045E+12;117;681;01/02/1997;3,96;18;2
240;9,78047E+12;118;416;01/06/2006;3,95;150;7
241;9,78055E+12;119;368;25/07/2006;3,88;646;83
242;9,78038E+12;120;192;17/09/2002;4,23;12180;630
243;9,78159E+12;121;286;01/04/2004;3,62;51;5
244;9,78037E+12;122;231;07/07/2003;3,63;8854;672
245;9,78031E+12;123;277;02/05/2006;3,55;17155;1841
246;9,78031E+12;124;826;21/01/2004;3,77;44;3
247;9,7802E+12;125;528;07/10/2004;3,59;234;11
248;9,7814E+12;126;391;27/09/2005;3,77;33321;2925
249;9,78069E+12;127;164;22/09/1999;3,59;8703;417
250;9,78006E+12;72;352;13/05/2008;4,19;6375;179
251;9,7814E+12;72;118;14/10/2003;3,97;7888;411
252;9,78031E+12;72;496;07/02/2006;4,07;130;5
253;9,78031E+12;72;176;07/02/2006;3,98;4508;278
254;9,7814E+12;72;533;12/10/2004;3,99;397;47
255;9,7814E+12;72;112;19/10/2004;3,6;5856;377
256;9,78038E+12;128;425;02/09/2004;4,07;32569;1058
257;9,78086E+12;129;288;15/05/2005;4,29;37;6
258;9,78184E+12;130;363;01/04/2006;3,75;1;0
259;9,78174E+12;131;128;01/09/2004;3,83;11;0
260;9,78841E+12;131;480;01/05/2006;4,03;0;0
261;9,78174E+12;131;295;01/09/2001;0;0;0
262;9,78062E+12;132;287;04/04/2006;3,88;6870;237
263;9,78006E+12;133;1139;01/11/2002;4,25;83184;4249
264;9,78223E+12;133;418;31/03/2001;4,1;5;0
265;9,78006E+12;133;815;14/06/2005;4,26;19320;565
266;9,78006E+12;133;927;21/09/2004;3,93;30872;1735
267;9,78055E+12;133;448;31/05/2005;3,61;2465;137
268;9,78038E+12;133;308;06/02/2001;3,25;4657;223
269;9,78055E+12;133;499;02/05/2000;4,19;71042;2767
270;9,78055E+12;133;640;31/05/2005;3,68;4731;270
271;9,78006E+12;133;464;28/03/2006;4,2;1567;65
272;9,78055E+12;133;438;02/08/2000;4,03;188100;6612
273;9,78188E+12;134;450;01/06/2005;4,16;1474;30
274;9,78188E+12;134;381;01/12/2004;4,24;1929;72
275;9,78047E+12;135;240;19/09/2002;4,17;18602;1379
276;9,78047E+12;135;272;11/05/2005;3,95;3702;149
277;9,78047E+12;135;257;13/06/1988;4,17;265;31
278;9,7809E+12;136;259;30/04/2006;4,27;51;7
279;9,78006E+12;137;192;02/05/2006;3,86;920;76
280;9,78006E+12;137;197;01/05/1993;3,86;1631221;55843
281;9,78142E+12;138;192;19/09/2006;4,57;9013;153
282;9,78159E+12;138;192;13/09/2005;4,56;16666;299
283;9,78142E+12;138;192;18/07/2006;4,57;11451;161
284;9,78159E+12;138;192;03/05/2005;4,5;111091;1427
285;9,78159E+12;138;200;08/11/2005;4,55;10752;294
286;9,78006E+12;137;198;01/11/1998;3,86;251;32
287;9,78159E+12;138;192;05/07/2005;4,52;14923;419
288;9,78081E+12;139;274;08/11/2005;3,82;26922;1726
289;9,78159E+12;140;360;03/12/2002;3,6;1156;68
290;9,78014E+12;141;103;08/01/2002;3,87;1755253;25554
291;9,78006E+12;142;464;06/09/2005;3,74;20529;1592
292;9,78014E+12;143;182;12/04/2004;4,02;142121;8782
293;9,78081E+12;13;215;07/07/2009;3,83;30231;1130
294;9,7814E+12;144;503;22/11/2005;4,11;280309;3703
295;9,78074E+12;144;434;15/11/2005;4,11;1301083;19296
296;9,7801E+12;144;497;01/12/2005;4,11;2122;256
297;9,78156E+12;145;144;20/10/2005;4,08;145;8
298;9,7801E+12;144;497;04/06/1998;4,11;4189;462
299;9,78074E+12;146;334;06/05/2003;3,93;1556;158
300;9,78193E+12;147;58;01/02/2006;3,44;9;2
301;9,78052E+12;148;95;01/08/2002;3,41;59;7
302;9,7808E+12;149;0;01/01/2005;4,7;22;4
303;9,78142E+12;150;736;01/04/2006;3,89;2418736;21303
304;9,7885E+12;150;508;01/12/2005;3,89;196;20
305;9,78097E+12;150;18;01/12/2005;3,89;65;7
306;9,78031E+12;150;489;28/03/2006;3,84;1679706;35877
307;9,78077E+12;150;467;28/03/2006;3,84;1120;105
308;9,78227E+12;150;744;03/05/2005;3,84;377;16
309;9,78142E+12;150;736;01/04/2006;3,71;4919;410
310;9,78055E+12;150;585;01/05/2004;3,71;3353;183
311;9,78059E+12;150;448;01/08/2005;3,71;61;4
312;9,78079E+12;151;383;01/02/2005;4,04;456;41
313;9,78067E+12;152;258;01/10/1998;4,03;61760;2600
314;9,78159E+12;153;320;01/09/2005;4,18;88897;2334
315;9,78193E+12;153;368;07/08/2004;4,18;48;9
316;9,78098E+12;154;256;07/06/2006;3,58;173;14
317;9,78156E+12;155;288;01/06/2005;3,95;253;17
318;9,78035E+12;156;384;28/12/2004;3,66;12748;948
319;9,78045E+12;157;194;01/02/2008;4,26;76451;3400
320;9,78142E+12;157;4;17/06/2005;4,26;86;15
321;9,7814E+12;158;480;10/05/2005;4,21;9498;637
322;9,78074E+12;159;386;04/07/2006;4,07;166916;6243
323;9,78014E+12;160;192;18/11/1976;4,22;1299;30
324;9,78023E+12;161;284;15/07/2000;3,62;31;5
325;9,78142E+12;162;418;04/03/2009;3,98;200744;7656
326;9,78031E+12;163;5;15/03/2005;3,93;26;2
327;9,78006E+12;164;399;05/07/2005;3,74;190039;4922
328;9,78014E+12;164;384;04/04/2002;3,74;811;77
329;9,78081E+12;165;269;21/02/2006;4,07;297533;14935
330;9,78039E+12;166;422;26/09/2006;3,78;72361;2334
331;9,78039E+12;167;1344;12/07/1975;4,51;11208;1237
332;9,78035E+12;168;320;25/07/2006;3,75;28;1
333;9,78006E+12;169;201;10/06/1999;3,74;3877;275
334;9,78158E+12;170;288;01/04/2005;3,65;401;63
335;9,78097E+12;169;405;26/11/2003;3,95;814;51
336;9,78047E+12;171;245;01/10/2005;4,13;228;16
337;9,78047E+12;172;432;18/04/2003;4,07;39;1
338;9,78081E+12;173;368;15/05/2005;3,15;26;8
339;9,78068E+12;174;68;16/02/1993;3,99;11178;623
340;9,78037E+12;175;392;24/09/2004;3,67;3379;67
341;9,78014E+12;176;256;01/10/1990;4,15;22843;936
342;9,7808E+12;177;214;01/06/1993;3,31;13;1
343;6,94055E+11;178;64;01/03/2001;4,08;8;2
344;9,78031E+12;179;256;04/04/2006;3,96;14103;74
345;9,7814E+12;179;256;22/02/2005;3,95;40125;217
346;9,78031E+12;179;240;03/04/2007;4,09;8822;55
347;9,7814E+12;180;256;26/09/2006;4,09;3697;34
348;9,78061E+12;180;304;25/03/2003;4,06;1426;16
349;9,7814E+12;180;287;01/10/2004;3,92;275;15
350;9,78006E+12;181;320;17/10/2006;3,97;628745;13034
351;9,78847E+12;181;250;01/08/2006;3,97;193;23
352;9,78006E+12;181;496;08/12/2006;3,97;98;5
353;9,7804E+12;182;338;01/06/2006;4,27;189;25
354;9,78016E+12;183;401;03/05/2004;3,91;4318;668
355;9,78083E+12;183;448;24/11/2005;3,91;177;26
356;9,78014E+12;184;400;01/09/1999;3,49;102;8
357;9,78031E+12;185;515;22/09/2005;3,65;206011;10821
358;9,78141E+12;186;256;10/02/2006;3,56;43;6
359;9,78006E+12;187;191;28/03/2006;3,41;201;24
360;9,78079E+12;188;458;07/08/2003;4,05;873;40
361;9,78045E+12;189;193;01/02/1993;4,14;5354;281
362;9,78013E+12;190;542;07/07/2005;3,68;55;4
363;9,78032E+12;191;397;01/10/2002;3,72;1820;147
364;9,78006E+12;192;368;03/04/2012;3,55;132062;3303
365;9,78006E+12;192;368;21/10/1998;3,62;18;1
366;9,78006E+12;192;2;03/04/2007;3,55;43;3
367;9,78074E+12;193;320;29/10/1998;3,76;82;13
368;9,78055E+12;194;512;25/06/2002;4,05;184418;4432
369;9,78052E+12;194;468;04/05/1980;4,05;495;67
370;9,78039E+12;176;317;17/03/2004;4,26;85094;4155
371;9,78074E+12;195;112;01/06/2005;0;0;0
372;9,78014E+12;196;452;01/09/2000;4,18;60946;3167
373;9,78055E+12;197;392;27/09/2005;4,42;21934;1629
374;9,78055E+12;198;414;01/03/1992;4,07;16312;175
375;9,78081E+12;199;721;18/06/2001;3,58;146;4
376;9,78039E+12;197;354;01/07/2006;3,96;3002;198
377;9,78055E+12;197;448;28/08/2001;3,9;3422;157
378;9,78055E+12;197;400;01/07/2003;3,76;2138;125
379;9,78045E+12;197;168;01/04/2003;4;53653;4702
380;9,78083E+12;200;176;30/05/2002;3,78;14;2
381;9,78081E+12;201;340;24/04/2006;3,91;85;6
382;9,78014E+12;202;160;30/01/1973;4,1;226;20
383;9,78019E+12;202;128;16/01/2003;3,92;29;6
384;9,78014E+12;202;176;25/08/2005;3,92;236;22
385;9,78088E+12;202;157;01/12/1991;4,47;14;0
386;9,78189E+12;203;125;11/02/2019;4,5;26;4
387;9,78087E+12;202;272;15/06/2006;4,06;154;4
388;9,7808E+12;202;233;01/09/1998;4,35;18;1
389;9,78087E+12;202;128;15/03/1999;3,85;28;7
390;9,78014E+12;202;208;29/01/2004;3,95;8186;198
391;9,78014E+12;204;716;30/01/2003;3,99;34727;597
392;9,78014E+12;204;622;01/09/1954;3,99;227;18
393;9,78088E+12;204;613;01/11/1992;3,99;2;0
394;9,78019E+12;204;772;19/11/1998;3,99;271;41
395;9,78014E+12;204;653;30/08/1970;3,99;143;17
396;9,78039E+12;204;464;17/01/1992;3,99;40;5
397;9,78038E+12;204;816;25/03/1997;3,99;132;10
398;9,78023E+12;204;710;14/03/1987;3,99;36;6
399;9,78014E+12;205;683;29/04/1999;3,86;288792;3423
400;9,78087E+12;205;574;12/03/1997;3,86;1058;137
401;9,78037E+12;205;588;03/04/2004;3,86;692;81
402;9,78015E+12;205;1556;01/11/1999;4,04;54939;380
403;9,78014E+12;205;462;30/01/2003;3,86;1919;118
404;9,78045E+12;205;312;01/08/1999;3,86;158;15
405;9,78087E+12;205;216;15/09/2000;3,86;212;18
406;9,78014E+12;205;541;30/11/2006;3,76;760871;6557
407;9,78037E+12;205;515;05/11/1998;3,76;1713;179
408;9,78006E+12;205;374;01/06/1999;3,76;1131;78
409;9,78014E+12;205;324;30/01/2003;3,76;2543;167
410;9,78045E+12;205;304;01/08/1999;3,76;262;24
411;9,78087E+12;206;161;01/01/2001;4,35;69;6
412;9,78067E+12;206;607;01/10/1999;4,22;414;10
413;9,78189E+12;207;136;30/01/2006;4,13;67;7
414;9,78019E+12;206;180;02/09/1999;3,8;259;15
415;9,78156E+12;208;272;03/12/1997;3,94;55;0
416;9,78014E+12;209;1808;07/11/2002;4,5;578;25
417;9,78052E+12;209;1248;13/10/1991;4,5;62;6
418;9,78052E+12;209;289;01/08/2005;4,02;609271;7139
419;9,78156E+12;210;137;01/02/1994;4,44;8159;118
420;9,78006E+12;137;272;01/05/1995;3,64;888;92
421;9,78006E+12;137;212;28/09/1996;3,31;1204;79
422;9,78006E+12;137;142;30/03/2004;3,7;22662;945
423;9,78006E+12;137;336;03/07/2006;3,57;58917;2575
424;9,78006E+12;137;208;23/05/2006;3,57;70760;2702
425;9,78006E+12;137;256;26/04/2000;3,62;1415;68
426;9,78006E+12;137;210;01/06/2006;3,7;132064;5452
427;9,78014E+12;209;148;01/12/2001;4,02;1658;125
428;9,78076E+12;211;129;30/05/2000;3,69;65;6
429;9,78076E+12;209;240;29/05/2000;4,02;102;16
430;9,78088E+12;212;450;24/03/2015;4,29;489;57
431;9,78067E+12;213;496;01/01/1919;4,32;208;7
432;9,78087E+12;213;172;01/10/1993;3,72;610;15
433;9,78067E+12;213;400;01/01/1921;4,35;38;0
434;9,78087E+12;213;530;01/06/1998;3,9;154;21
435;9,78039E+12;213;554;17/07/1998;3,9;24;4
436;9,78067E+12;213;480;01/01/1923;4,29;35;0
437;9,78093E+12;214;34;30/01/1989;4,5;2;0
438;9,78023E+12;215;221;15/02/1955;4,03;4483;56
439;9,78023E+12;215;228;15/01/1969;4,21;3334;46
440;9,78023E+12;215;307;15/11/1968;4,21;560;8
441;9,78159E+12;216;312;01/08/2006;4,4;679;85
442;9,78055E+12;215;432;01/08/1990;4,17;1464;21
443;9,78023E+12;215;255;15/01/1992;4;541;15
444;9,78023E+12;215;264;15/04/2002;4,31;790;12
445;9,78014E+12;215;206;27/03/2003;4,03;9197;120
446;9,78067E+12;215;432;01/01/1994;4,23;61;4
447;9,78052E+12;215;431;16/09/2002;3,87;201;9
448;9,78014E+12;215;360;26/01/2006;4,14;164;8
449;9,7802E+12;215;160;22/02/2001;3,88;154;13
450;9,78041E+12;215;192;09/11/2000;3,78;9;0
451;9,78049E+12;215;64;17/07/2002;3,63;34;4
452;9,78039E+12;217;128;17/07/2004;3,86;116;6
453;9,78019E+12;215;282;20/12/2001;4,1;158;2
454;9,78067E+12;215;528;15/02/1995;4,26;27;5
455;9,7802E+12;215;142;01/02/1990;3,83;1950;95
456;9,78067E+12;215;464;01/09/1998;4,47;30;4
457;9,7802E+12;215;116;10/08/2006;3,87;367;35
458;9,78072E+12;218;160;31/10/2002;4,04;23;1
459;9,78082E+12;219;69;13/09/1965;4,2;5;0
460;9,78067E+12;215;528;01/12/1999;4,03;29;2
461;9,78067E+12;215;605;15/06/2002;4,07;25;3
462;9,78072E+12;215;144;09/03/2006;4,03;12;1
463;9,78023E+12;215;672;01/08/1992;4,43;46;7
464;9,78023E+12;220;171;15/05/1969;4,02;712;53
465;9,78023E+12;220;188;01/02/1992;4,1;389;26
466;9,7802E+12;220;304;07/10/2004;4,02;77;7
