;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
33;9781595962805;A Changeling for All Seasons (Changeling Seasons #1);Angela Knight;304;2005-11-01;3,76;167;4
34;9780670059676;Changeling (Changeling  #1);Delia Sherman;256;2006-08-17;3,6;978;111
35;9780141312620;The Changeling Sea;Patricia A. McKillip;137;2003-04-14;4,06;4454;302
36;9780595321803;The Changeling;Zilpha Keatley Snyder;228;2004-06-08;4,17;1176;96
37;9781590301944;The Changeling;Kate Horsley;339;2005-04-12;3,55;301;43
38;9780449146972;The Changeling (Daughters of England  #15);Philippa Carr;369;1990-08-28;3,98;345;12
39;9780061159176;The Known World;Edward P. Jones;388;2006-08-29;3,83;29686;2626
40;9780060762735;The Known World;Edward P. Jones;14;2004-06-15;3,83;55;12
41;9780060749910;The Known World;Edward P. Jones;576;2004-06-15;3,83;22;3
42;9780273704744;Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives;Satyajit Das;334;2006-05-15;3,83;1456;82
43;9781932386103;Artesia: Adventures in the Known World;Mark Smylie;352;2005-12-14;4,13;52;4
44;9780374517199;The John McPhee Reader (John McPhee Reader  #1);John McPhee;416;1982-06-01;4,42;562;37
45;9780374280390;Uncommon Carriers;John McPhee;248;2006-05-16;3,95;1630;203
46;9780374519742;Heirs of General Practice;John McPhee;128;1986-04-01;4,17;268;22
47;9780374522599;The Control of Nature;John McPhee;288;1990-09-01;4,24;3498;305
48;9780374518738;Annals of the Former World;John McPhee;720;1999-01-06;4,34;3115;228
49;9780374522872;Coming Into the Country;John McPhee;448;1991-04-01;4,22;5704;261
50;9780374519322;La Place de la Concorde Suisse;John McPhee;160;1994-04-01;3,92;698;52
51;9780374516000;Giving Good Weight;John McPhee;288;1994-04-01;4,23;542;36
52;9780374520656;Rising from the Plains;John McPhee;208;1987-11-01;4,23;1341;98
53;9780822205104;The Heidi Chronicles;Wendy Wasserstein;81;2002-03-01;3,75;1423;70
54;9780679734994;The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic;Wendy Wasserstein;249;1991-07-02;3,84;2766;64
55;9781596670235;Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening;Heidi Hayes Jacobs;138;2006-03-29;3,94;31;1
56;9781581807745;Simply Beautiful Beaded Jewelry;Heidi Boyd;128;2006-03-14;3,77;62;4
57;9780800793616;Always Enough: God's Miraculous Provision Among the Poorest Children on Earth;Heidi Baker;192;2003-09-01;4,46;860;53
58;9780871202864;Mapping the Big Picture: Integrating Curriculum & Assessment K-12;Heidi Hayes Jacobs;108;1997-01-28;3,68;77;2
59;9780753454947;Heidi (Heidi  #1-2);Johanna Spyri;352;2002-11-15;3,99;153317;2257
60;9780871209993;Getting Results with Curriculum Mapping;Heidi Hayes Jacobs;192;2004-11-15;3,25;55;5
61;9781852402877;There's Always Enough: The Miraculous Move of God in Mozambique;Rolland Baker;192;2003-04-28;4,46;34;6
62;9780761129585;What to Expect the First Year (What to Expect);Heidi Murkoff;832;2003-10-16;3,89;11797;659
63;9780972016414;The Player's Handbook: The Ultimate Guide on Dating and Relationships;Heidi Fleiss;123;2004-05-10;3,82;34;8
64;9781581805635;Simply Beautiful Beading: 53 Quick and Easy Projects;Heidi Boyd;128;2004-08-19;3,78;78;4
65;9780441294671;God Emperor of Dune (Dune Chronicles  #4);Frank Herbert;423;1987-06-15;3,84;2785;166
66;9780441102679;Chapterhouse: Dune (Dune Chronicles #6);Frank Herbert;436;1987-07-01;3,91;38778;568
67;9780441172696;Dune Messiah (Dune Chronicles #2);Frank Herbert;331;1987-07-15;3,88;97494;2359
68;9780765306470;Dreamer of Dune: The Biography of Frank Herbert;Brian Herbert;592;2004-07-01;4,01;784;21
69;9780399128981;Heretics of Dune (Dune Chronicles  #5);Frank Herbert;480;1984-04-16;3,86;272;20
70;9780765353702;The Road to Dune;Frank Herbert;426;2006-08-29;3,88;4789;83
71;9780441328000;Heretics of Dune (Dune Chronicles #5);Frank Herbert;471;1987-08-15;3,86;45388;644
72;9780618212903;The Lord of the Rings: The Art of the Fellowship of the Ring;Gary Russell;192;2002-06-12;4,59;26153;102
73;9780345410054;The Power of One (The Power of One  #1);Bryce Courtenay;544;1996-09-29;4,35;69167;4551
74;9780385732543;The Power of One (The Power of One  #1);Bryce Courtenay;291;2005-09-13;4,35;45;13
75;9780785260059;The Power of One: One Person  One Rule  One Month;John C. Maxwell;256;2004-11-01;4,28;16;1
76;9780471780939;Power of an Hour: Business and Life Mastery in One Hour a Week;Dave Lakhani;205;2006-05-19;3,34;174;16
77;9780325001531;The Power of One: The Solo Play for Playwrights  Actors  and Directors;Louis E. Catron;240;2000-02-07;3,67;10;0
78;9780060762872;How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days;Adam Ginsberg;336;2005-05-03;3,48;76;9
79;9780470045299;eBay for Dummies;Marsha Collier;386;2006-10-30;3,5;111;9
80;9780072262780;What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond;Chris Malta;260;2006-01-24;3,62;24;0
81;9780764569241;Starting an eBay Business for Dummies;Marsha Collier;384;2004-09-17;3,55;55;4
82;9780471933823;eBay: Top 100 Simplified Tips & Tricks;Julia Wilkinson;260;2006-06-06;4,27;9;0
83;9780764559914;ebay Timesaving Techniques for Dummies;Marsha Collier;391;2004-05-31;3,39;22;1
84;9780764584381;eBay Business All-in-One Desk Reference for Dummies;Marsha Collier;864;2005-04-25;3,89;17;3
85;9780596523695;Ruby Cookbook;Lucas Carlson;873;2006-07-29;3,84;166;4
86;9780806523491;Ruby Ann's Down Home Trailer Park Cookbook;Ruby Ann Boxcar;240;2005-05-03;4,12;50;5
87;9780806525365;Ruby Ann's Down Home Trailer Park BBQin' Cookbook;Ruby Ann Boxcar;206;2005-05-03;4,08;13;2
88;9780596527310;Rails Cookbook: Recipes for Rapid Web Development with Ruby;Rob Orsini;514;2007-01-01;3,48;64;1
89;9780143035008;Anna Karenina;Leo Tolstoy;838;2004-05-31;4,05;16643;1851
90;9780451528612;Anna Karenina;Leo Tolstoy;960;2002-11-05;4,05;109420;5696
91;9780140449174;Anna Karenina;Leo Tolstoy;837;2003-01-30;4,05;2904;309
92;9780822001836;CliffsNotes on Tolstoy's Anna Karenina;Marianne Sturman;80;1965-11-26;3,85;16;3
93;9781593080273;Anna Karenina;Leo Tolstoy;803;2003-07-01;4,05;9564;726
94;9780486437965;Anna Karenina;Leo Tolstoy;752;2004-11-23;4,05;474;72
95;9781593081775;Anna Karenina;Leo Tolstoy;803;2004-08-26;4,05;303;48
96;9780778322276;Dinner with Anna Karenina;Gloria Goldreich;360;2006-01-28;2,99;411;65
97;9780521313254;Tolstoy: Anna Karenina;Anthony Thorlby;128;1987-11-26;4,19;1204;33
98;9780140183955;Untouchable;Mulk Raj Anand;160;1990-07-03;3,71;3429;279
99;9780679767473;The Untouchable;John Banville;367;1998-06-30;3,95;2163;216
100;9781568491981;The Untouchables;Eliot Ness;256;1996-02-01;3,89;613;31
101;9780743270793;Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India;Narendra Jadhav;320;2005-09-27;3,82;308;40
102;9780932863058;Dalit: The Black Untaouchables of India;V.T. Rajshekar;100;1995-01-28;4,2;10;0
103;9780742508804;Growing Up Untouchable in India: A Dalit Autobiography;Vasant Moon;224;2000-12-20;3,65;16;4
104;9780205358625;The Evidence-Based Social Work Skills Book;Barry R. Cournoyer;216;2003-09-22;3,4;10;0
106;9780380720446;Wrinkles in Time;George Smoot;360;1994-10-01;4,01;1035;23
107;9780821925324;A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1);Madeleine L'Engle;250;2002-05-01;4,0;36;6
108;9780439271691;Literature Circle Guide: A Wrinkle in Time;Tara MacCarthy;32;2002-01-01;3,6;15;0
109;9780606105262;Una arruga en el tiempo – A Wrinkle in Time;Madeleine L'Engle;205;1984-06-01;4,0;6;1
110;9780751506433;The Long Shadow (The Morland Dynasty  #6);Cynthia Harrod-Eagles;367;1994-06-01;4,12;376;17
111;9780060786717;A Long Shadow (Inspector Ian Rutledge  #8);Charles Todd;352;2006-01-03;4,11;3086;237
112;9780743499347;Long Way Round: Chasing Shadows Across the World;Ewan McGregor;320;2005-11-01;3,94;352;44
113;9780765313409;A Shadow in Summer (Long Price Quartet  #1);Daniel Abraham;331;2006-03-07;3,6;9852;633
114;9781400032495;New Hope for the Dead (Hoke Mosely #2);Charles Willeford;244;2004-08-10;3,9;821;78
115;9781400032488;Sideswipe: A Hoke Moseley Novel;Charles Willeford;215;2005-03-08;4,05;731;72
116;9781400032464;Miami Blues (Hoke Moseley #1);Charles Willeford;191;2004-08-10;3,94;2897;178
117;9780679732525;The Burnt Orange Heresy (Vintage Crime/Black Lizard);Charles Willeford;144;1990-10-03;3,89;98;11
118;9780312424442;I am Charlotte Simmons;Tom Wolfe;738;2005-08-30;3,42;20888;1688
119;9780806930770;Poetry for Young People: Edward Lear;Edward Lear;48;2001-10-01;3,91;66;19
120;9780140366600;The Puffin Book of Nonsense Verse;Quentin Blake;287;1996-10-03;4,02;81;6
121;9780811201124;Henry Miller on Writing;Henry Miller;217;1964-02-01;4,22;981;52
122;9780802130167;Quiet Days in Clichy;Henry Miller;154;1994-01-13;3,69;3381;141
123;9780802131782;Tropic of Cancer;Henry Miller;318;1994-01-06;3,68;53206;2376
124;9780802151827;Tropic of Capricorn;Henry Miller;348;1994-01-13;3,78;14872;459
125;9780802151780;Nexus (The Rosy Crucifixion  #3);Henry Miller;316;1994-01-13;4,1;3261;58
126;9780802151803;Sexus (The Rosy Crucifixion  #1);Henry Miller;506;1994-01-12;3,98;7805;251
127;9780811201063;The Air-Conditioned Nightmare;Henry Miller;292;1970-01-17;3,83;2699;142
128;9780141439631;The Portrait of a Lady;Henry James;797;2003-09-30;3,78;61640;1951
129;9781593080969;The Portrait of a Lady;Henry James;635;2004-01-16;3,78;392;41
130;9781571290533;Writing;Marguerite Duras;91;1999-05-06;3,75;778;44
131;9781565842212;The War;Marguerite Duras;192;1994-08-01;3,85;963;65
132;9780394743042;The Ravishing of Lol Stein;Marguerite Duras;181;1986-03-12;3,66;2057;128
133;9781851681822;Love Letters;Kahlil Gibran;178;1999-07-01;3,68;203;8
134;9781566562492;Kahlil Gibran: His Life and World;Jean Gibran;464;1998-04-01;4,21;35;2
135;9780140195538;The Beloved: Reflections on the Path of the Heart;Kahlil Gibran;102;1998-01-01;4,19;328;16
136;9780394431246;Jesus the Son of Man;Kahlil Gibran;216;1995-02-21;3,98;1308;82
137;9780806501901;The Broken Wings;Kahlil Gibran;132;2003-03-03;3,92;6432;517
138;9780679439202;Sand and Foam;Kahlil Gibran;100;2011-06-14;4,08;3015;217
139;9780753453803;Treasure Island;Robert Louis Stevenson;311;2001-09-15;3,83;318753;6734
140;9781402714573;Treasure Island;Robert Louis Stevenson;213;2004-10-01;3,83;420;42
141;9781416500292;Treasure Island;Robert Louis Stevenson;245;2005-06-01;3,83;5967;276
142;9780689854682;Treasure Island;Robert Louis Stevenson;64;2003-07-01;3,83;104;14
143;9780517221143;Treasure Island;Robert Louis Stevenson;272;2002-09-03;3,83;56;4
144;9781577658054;Treasure Island (Great Illustrated Classics);Deidre S. Laiken;232;2006-01-31;4,05;91;16
145;9780933121188;100 Years of Lynchings;Ralph Ginzburg;270;1996-11-22;4,61;88;4
146;9780785950103;Cien años de soledad;Gabriel García Márquez;448;1990-01-01;4,07;63;7
147;9780394800844;On Beyond Zebra!;Dr. Seuss;64;1955-09-12;4,04;2815;164
148;9780821778258;The Wedding Clause;Debbie Raleigh;256;2005-06-07;3,6;95;13
149;9780060733032;The Zebra Wall;Kevin Henkes;147;2005-02-15;3,44;217;24
150;9788432216060;El perfume: Historia de un asesino;Patrick Süskind;239;2002-06-01;4,02;4136;255
151;9780345413994;The Door Into Summer;Robert A. Heinlein;304;1997-06-17;4,01;17232;649
152;9780441788385;Stranger in a Strange Land;Robert A. Heinlein;528;1991-10-01;3,92;251872;6241
153;9780441748600;To Sail Beyond the Sunset;Robert A. Heinlein;434;1988-06-01;3,87;10293;193
154;9780345316509;Job: A Comedy of Justice;Robert A. Heinlein;439;1985-10-12;3,78;15970;438
155;9780765314932;Time for the Stars (Heinlein's Juveniles  #10);Robert A. Heinlein;256;2006-08-08;3,97;6898;200
156;9780671742515;The Long Dark Tea-Time of the Soul (Dirk Gently  #2);Douglas Adams;307;1991-02-15;4,06;67803;1401
157;9780345455291;The Salmon of Doubt (Dirk Gently  #3);Douglas Adams;298;2005-04-26;3,93;22091;746
158;9780345476517;Wish You Were Here: The Official Biography of Douglas Adams;Nick  Webb;368;2005-12-27;4,14;2623;49
159;9780345368430;Douglas Adams's Starship Titanic;Terry Jones;256;1998-10-27;3,6;885;84
160;9781417622856;Salmon of Doubt: Hitchhiking the Galaxy One Last Time;Douglas Adams;336;2003-07-01;3,93;5;0
161;9780573650963;The Phantom Tollbooth: A Children's Play in Two Acts;Susan Nanus;72;2011-01-12;4,13;100;13
162;9780691122946;On Bullshit;Harry G. Frankfurt;67;2005-01-30;3,57;9358;995
163;9780393329407;Another Bullshit Night in Suck City;Nick Flynn;347;2005-09-12;3,78;9318;907
164;9780671867423;Lincoln at Gettysburg: The Words That Remade America;Garry Wills;317;1993-06-12;4,14;120;15
165;9780395883976;The Gettysburg Address;Abraham Lincoln;32;1998-02-02;4,53;5239;76
166;9780684848150;Underworld;Don DeLillo;827;1998-07-09;3,92;1505;175
167;9780140156041;Libra;Don DeLillo;480;1991-05-01;3,99;11857;564
168;9780140119480;Americana;Don DeLillo;377;1989-07-06;3,43;393;55
169;9780679722946;Running Dog;Don DeLillo;256;1989-07-17;3,43;1356;72
170;9780743244251;Cosmopolis;Don DeLillo;224;2004-04-06;3,22;460;41
171;9780140179170;Great Jones Street;Don DeLillo;272;1994-01-01;3,48;2492;145
172;9780679722953;The Names;Don DeLillo;339;1989-07-17;3,64;3100;212
173;9781594201202;Against the Day;Thomas Pynchon;1085;2006-11-21;4,13;5296;587
174;9780060930219;V.;Thomas Pynchon;547;2005-07-05;3,96;1415;177
175;9780060931674;The Crying of Lot 49;Thomas Pynchon;152;1999-04-01;3,69;2161;230
176;9780140283389;Gravity's Rainbow;Thomas Pynchon;784;2000-01-01;4,01;762;213
177;9780312423209;Mason & Dixon;Thomas Pynchon;773;2004-01-03;4,07;8086;602
178;9780141180632;Vineland;Thomas Pynchon;385;1997-09-01;3,69;702;69
179;9780143039945;Gravity's Rainbow;Thomas Pynchon;776;2006-10-31;4,01;29764;2164
180;9780316724432;Slow Learner: Early Stories;Thomas Pynchon;193;1985-04-30;3,5;334;34
181;9780140189308;Been Down So Long It Looks Like Up To Me;Richard Fariña;352;1996-08-29;3,8;2473;220
182;9781400043149;The Year of Magical Thinking;Joan Didion;227;2005-10-04;3,89;2656;336
183;9780374522216;The White Album;Joan Didion;222;1990-10-01;4,17;11889;738
184;9780679754862;A Book of Common Prayer;Joan Didion;272;1995-04-11;3,8;2962;255
185;9780679752868;Where I Was From;Joan Didion;240;2004-09-14;3,86;2842;292
186;9780374521721;Slouching Towards Bethlehem;Joan Didion;238;1990-10-01;4,21;26934;1825
187;9780679754855;Democracy;Joan Didion;234;1995-04-25;3,81;2070;169
188;9780307264879;We Tell Ourselves Stories in Order to Live: Collected Nonfiction;Joan Didion;1122;2006-10-17;4,5;1564;108
189;9780374529949;Play It As It Lays;Joan Didion;231;2005-11-15;3,87;23656;1706
190;9780143039839;The New York Trilogy;Paul Auster;308;2006-03-28;3,89;43200;1873
191;9780140097313;City of Glass (The New York Trilogy  #1);Paul Auster;203;1987-04-07;3,79;12410;734
192;9780140097351;Ghosts (The New York Trilogy  #2);Paul Auster;96;1987-07-07;3,64;3672;195
193;9780940650763;The Locked Room (The New York Trilogy  #3);Paul Auster;179;1986-11-01;3,89;2998;164
194;9780963188922;Pyramids of Montauk: Explorations in Consciousness;Peter Moon;256;1995-01-01;3,89;74;2
195;9780312426231;The Brooklyn Follies;Paul Auster;306;2006-10-17;3,84;17977;1157
196;9780140115857;Moon Palace;Paul Auster;320;1990-04-01;3,94;16099;503
197;9780140154078;The Music of Chance;Paul Auster;217;1991-12-01;3,9;361;36
198;9780805081459;Travels in the Scriptorium;Paul Auster;145;2007-01-23;3,23;6688;562
199;9780140178135;Leviathan;Paul Auster;275;1993-09-01;3,96;11744;443
200;9780811214988;The Red Notebook: True Stories;Paul Auster;104;2002-06-17;3,77;2390;120
201;9782742741465;Timbuktu / Leviathan / Moon Palace;Paul Auster;1075;2002-11-07;4,38;21;1
202;9780143036555;Collapse: How Societies Choose to Fail or Succeed;Jared Diamond;608;2005-12-27;3,93;52522;2780
203;9780446579780;The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel;Stephen Leeb;211;2006-02-01;3,4;213;26
204;9780521386739;Collapse of Complex Societies;Joseph A. Tainter;262;1990-03-29;4,15;719;86
205;9780743203043;Bowling Alone: The Collapse and Revival of American Community;Robert D. Putnam;544;2001-08-07;3,8;4762;512
206;9780345438713;The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom;Philip K. Howard;272;2002-01-29;3,91;62;4
207;9780393318289;Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America;Joy Harjo;576;1998-09-17;4,39;278;20
208;9781599869940;My Inventions;Nikola Tesla;88;2006-05-17;4,01;2862;262
209;9780806519609;Wizard: The Life and Times of Nikola Tesla: Biography of a Genius;Marc J.  Seifer;542;2001-02-01;3,78;2829;334
210;9780822549208;Nikola Tesla: A Spark of Genius;Carol Dommermuth-Costa;144;1994-10-01;3,93;105;5
211;9780932813862;Tesla Papers;Nikola Tesla;100;2000-12-01;4,13;102;2
212;9780373792689;Boys of Summer;Julie Elizabeth Leto;249;2006-06-27;3,77;478;12
213;9780974514055;Programming Ruby: The Pragmatic Programmers' Guide;Dave Thomas;828;2004-10-11;4,03;1577;49
214;9780764585975;Golding's Lord of the Flies (Cliffs Notes);Maureen Kelly;112;2000-06-13;3,95;73;8
215;9780307281708;Lord of the Flies;William Golding;6;2005-10-11;3,68;408;96
216;9780812969702;A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War;Victor Davis Hanson;397;2006-09-12;4,11;1693;100
217;9780060255084;We Were Not Like Other People;Ephraim Sevela;216;1989-01-01;4,14;1;0
218;9780330485388;The Lovely Bones;Alice Sebold;328;2003-06-01;3,81;6485;966
219;9781594130236;The Lovely Bones;Alice Sebold;532;2004-04-01;3,81;367;73
220;9780345360359;Lovely in Her Bones (Elizabeth MacPherson  #2);Sharyn McCrumb;224;1990-05-13;3,8;1371;43
221;785342303476;The Zen of CSS Design: Visual Enlightenment for the Web;Dave Shea;296;2005-02-17;3,98;793;28
222;9780321430847;HTML  XHTML  and CSS (Visual Quickstart Guide);Elizabeth Castro;456;2006-08-01;3,8;549;42
223;9783822840856;1000 Record Covers;Michael Ochs;575;2005-05-15;3,85;288;31
224;9780743264464;Killing Yourself to Live: 85% of a True Story;Chuck Klosterman;245;2006-06-13;3,81;26381;1109
225;9780743236010;Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto;Chuck Klosterman;272;2004-07-02;3,73;62089;3324
226;9780553572490;Vice (V  #8);Jane Feather;419;1996-05-02;3,51;474;19
227;9780060589462;Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1);Robert M. Pirsig;540;2006-04-25;3,77;166046;6446
228;9780802789471;Once Upon a Cool Motorcycle Dude;Kevin O'Malley;32;2005-04-01;4,08;1773;274
229;9780688060695;Guidebook to Zen and the Art of Motorcycle Maintenance;Ronald L. DiSanto;408;1990-11-19;3,72;286;10
230;9781859605158;Motorcycle Basics Techbook;John Harold Haynes;222;2002-07-05;3,85;40;2
231;9781592530878;LOGO Lounge: 2 000 International Identities by Leading Designers;Catharine M. Fishel;191;2004-09-01;3,93;27;0
232;9780451528803;The Death of Ivan Ilych And Other Stories;Leo Tolstoy;304;2003-04-01;4,11;7300;266
233;9780192833983;War and Peace;Leo Tolstoy;1392;1998-06-25;4,11;211671;6245
234;9780486451381;The Kingdom of God Is Within You;Leo Tolstoy;352;2006-09-08;4,13;2403;210
235;9780452011878;Atlas Shrugged;Ayn Rand;1168;1999-08-01;3,69;322483;14702
236;9780451163080;For the New Intellectual: The Philosophy of Ayn Rand;Ayn Rand;224;1963-12-01;3,68;2750;108
237;9780452286757;The Fountainhead;Ayn Rand;752;2005-04-26;3,87;1886;229
238;9780451163936;The Virtue of Selfishness: A New Concept of Egoism;Ayn Rand;176;1964-11-01;3,51;11462;467
239;9780452281257;Anthem;Ayn Rand;105;1999-12-01;3,63;110952;7277
240;9780451187840;We the Living;Ayn Rand;464;1996-01-01;3,91;23199;1086
241;9780451147950;Capitalism: The Unknown Ideal;Ayn Rand;340;1986-07-15;3,88;3501;153
242;9780452274044;Letters of Ayn Rand;Ayn Rand;681;1997-02-01;3,96;18;2
243;9780471791430;Sailing for Dummies;J.J. Isler;416;2006-06-01;3,95;150;7
244;9780553803815;Sailing from Byzantium: How a Lost Empire Shaped the World;Colin  Wells;368;2006-07-25;3,88;646;83
245;9780375755194;Sailing Alone Around the Room: New and Selected Poems;Billy Collins;192;2002-09-17;4,23;12180;630
246;9781592283194;The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories;Christopher Caswell;286;2004-04-01;3,62;51;5
248;9780374502003;The Natural;Bernard Malamud;231;2003-07-07;3,63;8854;672
249;9780307263940;Digging to America;Anne Tyler;277;2006-05-02;3,55;17155;1841
250;9780312405540;Rereading America: Cultural Contexts for Critical Thinking and Writing;Gary Colombo;826;2004-01-21;3,77;44;3
251;9780195170139;Modern Latin America;Thomas E. Skidmore;528;2004-10-07;3,59;234;11
252;9781400079490;The Plot Against America;Philip Roth;391;2005-09-27;3,77;33321;2925
253;9780688171629;Naked Pictures of Famous People;Jon   Stewart;164;1999-09-22;3,59;8703;417
254;9780060932688;Collected Stories;Gabriel García Márquez;352;2008-05-13;4,19;6375;179
255;9781400034956;Crónica de una muerte anunciada;Gabriel García Márquez;118;2003-10-14;3,97;7888;411
256;9780307350428;Cien años de soledad;Gabriel García Márquez;496;2006-02-07;4,07;130;5
257;9780307350442;Del amor y otros demonios;Gabriel García Márquez;176;2006-02-07;3,98;4508;278
258;9781400034543;Living to Tell the Tale;Gabriel García Márquez;533;2004-10-12;3,99;397;47
259;9781400095803;Memoria de mis putas tristes;Gabriel García Márquez;112;2004-10-19;3,6;5856;377
260;9780375708114;The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory;Brian Greene;425;2004-09-02;4,07;32569;1058
261;9780861714926;Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman;Upasika Kee Nanayon;288;2005-05-15;4,29;37;6
262;9781843535843;The Mini Rough Guide to London;Rob Humphreys;363;2006-04-01;3,75;1;0
263;9781740594776;Best of London (Lonely Planet Best Of);Lonely Planet;128;2004-09-01;3,83;11;0
264;9788408064763;Lonely Planet Londres;Lonely Planet;480;2006-05-01;4,03;0;0
265;9781740592055;Out to Eat London 2002 (Lonely Planet Out to Eat);Lonely Planet;295;2001-09-01;0,0;0;0
266;9780618710539;Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager;H.G. Bissinger;287;2006-04-04;3,88;6870;237
267;9780060512804;Cryptonomicon;Neal Stephenson;1139;2002-11-01;4,25;83184;4249
268;9782228894166;Le Réseau Kinakuta (Cryptonomicon  #2);Neal Stephenson;418;2001-03-31;4,1;5;0
269;9780060733353;The Confusion (The Baroque Cycle  #2);Neal Stephenson;815;2005-06-14;4,26;19320;565
270;9780060593087;Quicksilver (The Baroque Cycle  #1);Neal Stephenson;927;2004-09-21;3,93;30872;1735
